method,stage,stage_order,x,scientificName,species,sp_persist
pipe,2,2,9.55800057489893,Indri indri,Indri_indri,0.999999999969033
pipe,2,2,9.55800057489893,Lepidopygia nana,Lepidopygia_nana,1
pipe,2,2,9.55800057489893,Lepilemur edwardsi,Lepilemur_edwardsi,1
pipe,2,2,9.55800057489893,Lepilemur leucopus,Lepilemur_leucopus,1
pipe,2,2,9.55800057489893,Lepilemur mustelinus,Lepilemur_mustelinus,1
pipe,2,2,9.55800057489893,Lepilemur ruficaudatus,Lepilemur_ruficaudatus,1
pipe,2,2,9.55800057489893,Leptopterus chabert,Leptopterus_chabert,1
pipe,2,2,9.55800057489893,Lophotibis cristata,Lophotibis_cristata,0.999996019792002
pipe,2,2,9.55800057489893,Mentocrex kioloides,Mentocrex_kioloides,0.999999513517803
pipe,2,2,9.55800057489893,Microcebus murinus,Microcebus_murinus,1
pipe,2,2,9.55800057489893,Microcebus rufus,Microcebus_rufus,1
pipe,2,2,9.55800057489893,Microgale brevicaudata,Microgale_brevicaudata,1
pipe,2,2,9.55800057489893,Microgale cowani,Microgale_cowani,1
pipe,2,2,9.55800057489893,Microgale gymnorhyncha,Microgale_gymnorhyncha,1
pipe,2,2,9.55800057489893,Microgale longicaudata,Microgale_longicaudata,1
pipe,2,2,9.55800057489893,Microgale parvula,Microgale_parvula,1
pipe,2,2,9.55800057489893,Microgale principula,Microgale_principula,1
pipe,2,2,9.55800057489893,Microgale soricoides,Microgale_soricoides,1
pipe,2,2,9.55800057489893,Microgale taiva,Microgale_taiva,1
pipe,2,2,9.55800057489893,Monticola sharpei,Monticola_sharpei,1
pipe,2,2,9.55800057489893,Motacilla flaviventris,Motacilla_flaviventris,1
pipe,2,2,9.55800057489893,Mystacornis crossleyi,Mystacornis_crossleyi,1
pipe,2,2,9.55800057489893,Neodrepanis coruscans,Neodrepanis_coruscans,1
pipe,2,2,9.55800057489893,Neomixis striatigula,Neomixis_striatigula,1
pipe,2,2,9.55800057489893,Neomixis viridis,Neomixis_viridis,1
pipe,2,2,9.55800057489893,Nesogale dobsoni,Nesogale_dobsoni,1
pipe,2,2,9.55800057489893,Nesogale talazaci,Nesogale_talazaci,1
pipe,2,2,9.55800057489893,Nesomys rufus,Nesomys_rufus,1
pipe,2,2,9.55800057489893,Newtonia amphichroa,Newtonia_amphichroa,1
pipe,2,2,9.55800057489893,Newtonia brunneicauda,Newtonia_brunneicauda,1
pipe,2,2,9.55800057489893,Oryzorictes hova,Oryzorictes_hova,1
pipe,2,2,9.55800057489893,Otus rutilus,Otus_rutilus,0.999999999999959
pipe,2,2,9.55800057489893,Oxylabes madagascariensis,Oxylabes_madagascariensis,1
pipe,2,2,9.55800057489893,Philepitta castanea,Philepitta_castanea,0.999999999267533
pipe,2,2,9.55800057489893,Ploceus nelicourvi,Ploceus_nelicourvi,1
pipe,2,2,9.55800057489893,Polyboroides radiatus,Polyboroides_radiatus,0.999930790749088
pipe,2,2,9.55800057489893,Pseudobias wardi,Pseudobias_wardi,1
pipe,2,2,9.55800057489893,Pterocles personatus,Pterocles_personatus,0.995633067436535
pipe,2,2,9.55800057489893,Randia pseudozosterops,Randia_pseudozosterops,1
pipe,2,2,9.55800057489893,Sarothrura insularis,Sarothrura_insularis,0.999999999962967
pipe,2,2,9.55800057489893,Setifer setosus,Setifer_setosus,1
pipe,2,2,9.55800057489893,Tenrec ecaudatus,Tenrec_ecaudatus,1
pipe,2,2,9.55800057489893,Treron australis,Treron_australis,0.999857116736382
pipe,2,2,9.55800057489893,Turnix nigricollis,Turnix_nigricollis,0.999999999900233
pipe,2,2,9.55800057489893,Tylas eduardi,Tylas_eduardi,1
pipe,2,2,9.55800057489893,Vanga curvirostris,Vanga_curvirostris,0.999999999999967
pipe,2,2,9.55800057489893,Varecia rubra,Varecia_rubra,1
pipe,2,2,9.55800057489893,Varecia variegata,Varecia_variegata,1
pipe,2,2,9.55800057489893,Xanthomixis cinereiceps,Xanthomixis_cinereiceps,1
pipe,2,2,9.55800057489893,Xanthomixis zosterops,Xanthomixis_zosterops,1
pipe,3,3,14.2804048379956,Accipiter henstii,Accipiter_henstii,0.943959944087264
pipe,3,3,14.2804048379956,Accipiter madagascariensis,Accipiter_madagascariensis,0.993594990514952
pipe,3,3,14.2804048379956,Acrocephalus newtoni,Acrocephalus_newtoni,1
pipe,3,3,14.2804048379956,Alectroenas madagascariensis,Alectroenas_madagascariensis,0.999998664534996
pipe,3,3,14.2804048379956,Apus balstoni,Apus_balstoni,1
pipe,3,3,14.2804048379956,Artamella viridis,Artamella_viridis,1
pipe,3,3,14.2804048379956,Asio madagascariensis,Asio_madagascariensis,0.982789840323275
pipe,3,3,14.2804048379956,Atelornis crossleyi,Atelornis_crossleyi,1
pipe,3,3,14.2804048379956,Atelornis pittoides,Atelornis_pittoides,0.999999999999998
pipe,3,3,14.2804048379956,Athene superciliaris,Athene_superciliaris,0.999999995426357
pipe,3,3,14.2804048379956,Aviceda madagascariensis,Aviceda_madagascariensis,0.997870782783596
pipe,3,3,14.2804048379956,Bernieria madagascariensis,Bernieria_madagascariensis,1
pipe,3,3,14.2804048379956,Brachypteracias leptosomus,Brachypteracias_leptosomus,0.999999998819449
pipe,3,3,14.2804048379956,Buteo brachypterus,Buteo_brachypterus,0.978835850536993
pipe,3,3,14.2804048379956,Calicalicus madagascariensis,Calicalicus_madagascariensis,1
pipe,3,3,14.2804048379956,Cheirogaleus major,Cheirogaleus_major,1
pipe,3,3,14.2804048379956,Cheirogaleus medius,Cheirogaleus_medius,1
pipe,3,3,14.2804048379956,Cinnyris notatus,Cinnyris_notatus,1
pipe,3,3,14.2804048379956,Coracopsis nigra,Coracopsis_nigra,0.999999950628198
pipe,3,3,14.2804048379956,Corythornis madagascariensis,Corythornis_madagascariensis,0.999995749583347
pipe,3,3,14.2804048379956,Coua coquereli,Coua_coquereli,0.999999999959855
pipe,3,3,14.2804048379956,Coua cristata,Coua_cristata,1
pipe,3,3,14.2804048379956,Coua cursor,Coua_cursor,0.99999979966988
pipe,3,3,14.2804048379956,Coua gigas,Coua_gigas,0.99999818029051
pipe,3,3,14.2804048379956,Coua serriana,Coua_serriana,0.999148451070788
pipe,3,3,14.2804048379956,Cryptoprocta ferox,Cryptoprocta_ferox,0.287143674795883
pipe,3,3,14.2804048379956,Cyanolanius madagascarinus,Cyanolanius_madagascarinus,1
pipe,3,3,14.2804048379956,Echinops telfairi,Echinops_telfairi,1
pipe,3,3,14.2804048379956,Eliurus majori,Eliurus_majori,1
pipe,3,3,14.2804048379956,Eliurus minor,Eliurus_minor,1
pipe,3,3,14.2804048379956,Eliurus myoxinus,Eliurus_myoxinus,1
pipe,3,3,14.2804048379956,Eliurus tanala,Eliurus_tanala,1
pipe,3,3,14.2804048379956,Eliurus webbi,Eliurus_webbi,1
pipe,3,3,14.2804048379956,Eremopterix hova,Eremopterix_hova,1
pipe,3,3,14.2804048379956,Eulemur albifrons,Eulemur_albifrons,1
pipe,3,3,14.2804048379956,Eulemur cinereiceps,Eulemur_cinereiceps,1
pipe,3,3,14.2804048379956,Eulemur collaris,Eulemur_collaris,1
pipe,3,3,14.2804048379956,Eulemur coronatus,Eulemur_coronatus,1
pipe,3,3,14.2804048379956,Eulemur fulvus,Eulemur_fulvus,1
pipe,3,3,14.2804048379956,Eulemur rubriventer,Eulemur_rubriventer,1
pipe,3,3,14.2804048379956,Eulemur rufus,Eulemur_rufus,1
pipe,3,3,14.2804048379956,Eulemur sanfordi,Eulemur_sanfordi,1
pipe,3,3,14.2804048379956,Fossa fossana,Fossa_fossana,0.997345959809717
